X,Y,Z
0.03,-0.05,1
0.03,-0.05,1
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.04,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,0.99
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
0.03,-0.05,1.01
