RED1,IR1,RED2,IR2,RED3,IR3,RED4,IR4
4435,4775,89154,111571,262143,262143,262143,262143
4413,4763,89222,111676,262143,262143,262143,262143
4425,4773,89316,111981,262143,262143,262143,262143
4424,4769,89376,112049,262143,262143,262143,262143
4434,4770,89386,112044,262143,262143,262143,262143
4427,4766,89435,111827,262143,262143,262143,262143
4428,4761,89370,111995,262143,262143,262143,262143
4426,4763,89391,111929,262143,262143,262143,262143
4429,4776,89387,111757,262143,262143,262143,262143
4436,4753,89336,111870,262143,262143,262143,262143
4414,4761,89278,111256,262143,262143,262143,262143
4426,4763,89229,111462,262143,262143,262143,262143
4405,4771,89240,111427,262143,262143,262143,262143
4422,4772,89207,111409,262143,262143,262143,262143
4439,4774,89215,111517,262143,262143,262143,262143
4442,4773,89255,111538,262143,262143,262143,262143
4416,4772,89237,111599,262143,262143,262143,262143
4432,4767,89266,111590,262143,262143,262143,262143
4425,4766,89257,111594,262143,262143,262143,262143
4423,4770,89235,111456,262143,262143,262143,262143
4429,4778,89186,111376,262143,262143,262143,262143
4436,4774,89236,111471,262143,262143,262143,262143
4428,4762,89214,111403,262143,262143,262143,262143
4422,4761,89224,111505,262143,262143,262143,262143
4421,4761,89269,111675,262143,262143,262143,262143
4426,4769,89281,111696,262143,262143,262143,262143
4411,4781,89288,111748,262143,262143,262143,262143
4413,4765,89309,111597,262143,262143,262143,262143
4437,4769,89262,111606,262143,262143,262143,262143
4421,4765,89254,111616,262143,262143,262143,262143
4423,4749,89265,111643,262143,262143,262143,262143
4419,4754,89252,111651,262143,262143,262143,262143
4418,4775,89285,111613,262143,262143,262143,262143
4429,4781,89244,111673,262143,262143,262143,262143
4434,4761,89272,111652,262143,262143,262143,262143
4429,4768,89274,111673,262143,262143,262143,262143
4426,4744,89264,111611,262143,262143,262143,262143
4422,4761,89209,111532,262143,262143,262143,262143
4427,4764,89244,111560,262143,262143,262143,262143
4428,4772,89237,111529,262143,262143,262143,262143
4431,4761,89227,111495,262143,262143,262143,262143
4439,4763,89243,111475,262143,262143,262143,262143
4428,4735,89172,111325,262143,262143,262143,262143
4431,4758,89171,111473,262143,262143,262143,262143
4426,4746,89332,112055,262143,262143,262143,262143
4427,4768,89385,111682,262143,262143,262143,262143
4432,4765,89235,111720,262143,262143,262143,262143
4406,4749,89376,112145,262143,262143,262143,262143
4429,4741,89501,112122,262143,262143,262143,262143
4431,4749,89400,111750,262143,262143,262143,262143
4423,4752,89232,111380,262143,262143,262143,262143
4411,4758,89175,111373,262143,262143,262143,262143
4423,4762,89175,111386,262143,262143,262143,262143
4430,4753,89149,111350,262143,262143,262143,262143
4431,4768,89157,111270,262143,262143,262143,262143
4431,4747,89141,111356,262143,262143,262143,262143
4424,4764,89152,111353,262143,262143,262143,262143
4425,4759,89136,111267,262143,262143,262143,262143
4440,4763,89111,111207,262143,262143,262143,262143
4419,4762,89138,111273,262143,262143,262143,262143
4429,4760,89126,111274,262143,262143,262143,262143
4418,4755,89129,111234,262143,262143,262143,262143
4436,4759,89086,111071,262143,262143,262143,262143
4423,4761,89089,111159,262143,262143,262143,262143
4429,4767,89089,111281,262143,262143,262143,262143
4432,4753,89137,111531,262143,262143,262143,262143
4422,4768,89136,111455,262143,262143,262143,262143
4432,4741,89134,111513,262143,262143,262143,262143
4438,4751,89203,111739,262143,262143,262143,262143
4420,4750,89263,111769,262143,262143,262143,262143
4417,4776,89287,111829,262143,262143,262143,262143
4422,4767,89231,111651,262143,262143,262143,262143
4408,4760,89231,111645,262143,262143,262143,262143
4431,4763,89250,111713,262143,262143,262143,262143
4433,4760,89260,111642,262143,262143,262143,262143
4421,4744,89239,111613,262143,262143,262143,262143
4422,4749,89236,111483,262143,262143,262143,262143
4427,4759,89177,111500,262143,262143,262143,262143
4416,4772,89198,111585,262143,262143,262143,262143
4431,4770,89249,111645,262143,262143,262143,262143
4432,4750,89219,111584,262143,262143,262143,262143
4431,4747,89200,111425,262143,262143,262143,262143
4417,4767,89143,111435,262143,262143,262143,262143
4427,4754,89195,111467,262143,262143,262143,262143
4420,4782,89177,111495,262143,262143,262143,262143
4413,4761,89178,111495,262143,262143,262143,262143
4419,4762,89172,111353,262143,262143,262143,262143
4421,4746,89148,111344,262143,262143,262143,262143
4426,4758,89124,111341,262143,262143,262143,262143
4425,4759,89147,111352,262143,262143,262143,262143
4423,4787,89142,111384,262143,262143,262143,262143
4435,4753,89119,111301,262143,262143,262143,262143
4318,4689,77915,112464,82357,147887,82400,147848
4418,4756,89133,111319,262143,262143,262143,262143
4421,4763,89127,111372,262143,262143,262143,262143
4435,4747,89146,111306,262143,262143,262143,262143
4420,4739,89115,111284,262143,262143,262143,262143
4404,4756,89124,111289,262143,262143,262143,262143
4420,4774,89130,111467,262143,262143,262143,262143
4431,4771,89182,111489,262143,262143,262143,262143
4417,4765,89157,111311,262143,262143,262143,262143
4420,4758,89145,111256,262143,262143,262143,262143
4419,4763,89100,111227,262143,262143,262143,262143
4432,4756,89124,111274,262143,262143,262143,262143
4421,4768,89113,111367,262143,262143,262143,262143
4424,4764,89147,111452,262143,262143,262143,262143
4426,4749,89134,111413,262143,262143,262143,262143
4432,4749,89132,111416,262143,262143,262143,262143
4408,4737,89153,111406,262143,262143,262143,262143
4415,4760,89148,111530,262143,262143,262143,262143
4425,4758,89205,111711,262143,262143,262143,262143
4418,4758,89244,111726,262143,262143,262143,262143
4434,4752,89239,111679,262143,262143,262143,262143
4407,4754,89227,111685,262143,262143,262143,262143
4441,4778,89264,111929,262143,262143,262143,262143
4422,4768,89346,111919,262143,262143,262143,262143
4422,4763,89330,111962,262143,262143,262143,262143
4426,4755,89356,111899,262143,262143,262143,262143
4423,4756,89313,111906,262143,262143,262143,262143
4418,4762,89286,111711,262143,262143,262143,262143
4430,4755,89191,111409,262143,262143,262143,262143
4421,4767,89149,111334,262143,262143,262143,262143
4429,4757,89111,111496,262143,262143,262143,262143
4421,4754,89174,111612,262143,262143,262143,262143
4425,4753,89178,111501,262143,262143,262143,262143
4417,4769,89157,111524,262143,262143,262143,262143
4437,4763,89184,111530,262143,262143,262143,262143
4419,4765,89185,111607,262143,262143,262143,262143
4421,4763,89222,111659,262143,262143,262143,262143
4419,4755,89216,111620,262143,262143,262143,262143
4424,4768,89188,111636,262143,262143,262143,262143
4428,4757,89204,111611,262143,262143,262143,262143
4430,4760,89208,111717,262143,262143,262143,262143
